Time,Accel1_X [m/s^2],Accel1_Y [m/s^2],Accel1_Z [m/s^2],Rotation1_X [rad/s],Rotation1_Y [rad/s],Rotation1_Z [rad/s],Accel2_X [m/s^2],Accel2_Y [m/s^2],Accel2_Z [m/s^2],Rotation2_X [rad/s],Rotation2_Y [rad/s],Rotation2_Z [rad/s]
2025-02-24 12:45:22.001,0.01	0.00	0.01	-0.06	-0.01	-0.02		-4.67	0.10	8.92	-0.02	-0.02	0.01
2025-02-24 12:45:22.001,0.00	0.02	-0.00	-0.06	-0.01	-0.02		-4.65	-0.02	8.98	-0.02	-0.02	0.01
2025-02-24 12:45:22.004,0.01	0.01	0.01	-0.06	-0.01	-0.02		-4.60	0.08	8.91	-0.02	-0.02	0.02
2025-02-24 12:45:22.004,-0.01	0.02	0.04	-0.06	-0.00	-0.02		-4.70	-0.01	8.99	-0.01	-0.02	0.01
2025-02-24 12:45:22.015,0.00	0.02	0.01	-0.06	-0.00	-0.02		-4.55	-0.06	9.02	-0.01	-0.02	0.01
2025-02-24 12:45:22.058,0.01	0.02	0.02	-0.06	-0.01	-0.02		-4.78	-0.02	9.01	-0.02	-0.02	0.02
2025-02-24 12:45:22.092,0.02	0.02	0.01	-0.06	-0.01	-0.02		-4.61	0.01	9.01	-0.02	-0.02	0.02
2025-02-24 12:45:22.126,0.03	0.01	0.01	-0.06	-0.00	-0.02		-4.66	-0.03	9.01	-0.01	-0.02	0.02
2025-02-24 12:45:22.165,0.02	0.01	0.00	-0.06	-0.01	-0.02		-4.65	0.02	9.09	-0.02	-0.02	0.02
2025-02-24 12:45:22.195,0.01	-0.00	0.02	-0.06	-0.00	-0.02		-4.67	-0.04	9.01	-0.02	-0.02	0.02
2025-02-24 12:45:22.232,0.00	0.01	0.01	-0.06	-0.01	-0.02		-4.71	0.01	8.99	-0.02	-0.02	0.02
2025-02-24 12:45:22.275,0.01	-0.01	0.00	-0.06	-0.00	-0.02		-4.57	-0.01	9.14	-0.02	-0.02	0.02
2025-02-24 12:45:22.309,0.01	-0.02	0.02	-0.06	-0.00	-0.02		-4.70	-0.08	9.06	-0.01	-0.02	0.01
2025-02-24 12:45:22.342,-0.00	-0.01	0.00	-0.06	-0.01	-0.02		-4.59	0.04	8.98	-0.01	-0.02	0.02
2025-02-24 12:45:22.384,-0.00	-0.02	0.01	-0.06	-0.01	-0.02		-4.70	-0.02	9.00	-0.02	-0.01	0.02
2025-02-24 12:45:22.419,0.00	0.01	0.02	-0.06	-0.01	-0.02		-4.57	0.05	8.94	-0.02	-0.02	0.01
2025-02-24 12:45:22.441,0.00	0.00	0.03	-0.06	-0.00	-0.02		-4.70	-0.01	9.06	-0.01	-0.02	0.02
2025-02-24 12:45:22.491,0.00	0.00	0.01	-0.06	-0.01	-0.02		-4.62	-0.01	9.02	-0.02	-0.02	0.02
2025-02-24 12:45:22.525,0.01	0.00	0.00	-0.06	-0.00	-0.02		-4.64	-0.04	9.06	-0.01	-0.02	0.01
2025-02-24 12:45:22.560,0.00	0.00	0.01	-0.06	-0.01	-0.02		-4.70	-0.06	9.02	-0.02	-0.02	0.02
2025-02-24 12:45:22.597,0.00	0.00	0.02	-0.06	-0.01	-0.02		-4.63	0.02	9.03	-0.02	-0.02	0.02
2025-02-24 12:45:22.628,0.00	-0.01	0.01	-0.06	-0.01	-0.02		-4.77	-0.07	9.00	-0.01	-0.02	0.01
2025-02-24 12:45:22.668,0.01	0.00	0.03	-0.06	-0.00	-0.02		-4.55	0.00	8.99	-0.01	-0.02	0.02
2025-02-24 12:45:22.705,0.00	0.00	0.03	-0.06	-0.00	-0.02		-4.72	0.02	9.01	-0.01	-0.02	0.02
2025-02-24 12:45:22.742,-0.00	-0.01	0.00	-0.06	-0.00	-0.02		-4.58	0.01	8.96	-0.02	-0.02	0.01
2025-02-24 12:45:22.776,0.01	-0.01	0.01	-0.06	-0.01	-0.02		-4.69	-0.01	9.03	-0.02	-0.02	0.01
2025-02-24 12:45:22.808,0.01	0.01	0.04	-0.06	-0.01	-0.02		-4.55	0.00	8.96	-0.01	-0.02	0.02
2025-02-24 12:45:22.842,0.01	0.00	0.01	-0.06	-0.01	-0.02		-4.64	0.02	9.06	-0.01	-0.02	0.01
2025-02-24 12:45:22.875,0.00	-0.00	0.03	-0.06	-0.01	-0.02		-4.59	0.00	8.98	-0.02	-0.02	0.02
2025-02-24 12:45:22.918,0.00	-0.00	0.02	-0.06	-0.00	-0.02		-4.63	-0.00	9.06	-0.01	-0.02	0.01
2025-02-24 12:45:22.958,0.01	0.00	0.00	-0.06	-0.00	-0.02		-4.64	-0.04	8.92	-0.02	-0.02	0.02
2025-02-24 12:45:22.994,0.00	0.01	0.01	-0.06	-0.00	-0.02		-4.57	-0.01	9.03	-0.02	-0.02	0.01
2025-02-24 12:45:23.026,0.03	-0.01	0.00	-0.06	-0.00	-0.02		-4.73	-0.07	9.04	-0.01	-0.02	0.02
2025-02-24 12:45:23.060,0.00	-0.01	0.00	-0.06	-0.00	-0.02		-4.56	-0.06	9.02	-0.01	-0.02	0.02
2025-02-24 12:45:23.094,0.02	-0.01	-0.00	-0.06	-0.00	-0.02		-4.73	-0.01	9.12	-0.02	-0.02	0.02
