X,Y,Z
2025-02-24 12:31:12.557,0.00	0.00	0.00	-0.06	-0.01	-0.02		-5.06	-0.23	8.77	-0.01	-0.02	0.01
2025-02-24 12:31:12.594,0.00	-0.00	-0.01	-0.06	-0.00	-0.02		-5.11	-0.25	8.76	-0.02	-0.02	0.02
2025-02-24 12:31:12.631,-0.01	0.01	-0.01	-0.06	-0.00	-0.02		-5.04	-0.27	8.77	-0.01	-0.02	0.01
2025-02-24 12:31:12.668,-0.01	0.00	0.00	-0.06	-0.00	-0.02		-5.11	-0.27	8.69	-0.02	-0.02	0.02
2025-02-24 12:31:12.705,-0.02	-0.00	-0.00	-0.06	-0.00	-0.02		-5.06	-0.34	8.79	-0.01	-0.02	0.02
2025-02-24 12:31:12.743,-0.01	-0.00	-0.00	-0.06	-0.01	-0.02		-5.05	-0.24	8.74	-0.02	-0.02	0.02
2025-02-24 12:31:12.780,-0.02	0.00	-0.00	-0.06	-0.00	-0.02		-5.17	-0.28	8.65	-0.02	-0.02	0.01
2025-02-24 12:31:12.816,0.00	0.01	0.00	-0.06	-0.00	-0.02		-4.97	-0.23	8.75	-0.01	-0.02	0.02
2025-02-24 12:31:12.853,-0.02	-0.01	0.01	-0.06	-0.00	-0.02		-5.15	-0.28	8.84	-0.02	-0.02	0.01
2025-02-24 12:31:12.890,-0.02	-0.00	-0.03	-0.06	-0.01	-0.02		-5.00	-0.22	8.79	-0.01	-0.02	0.02
2025-02-24 12:31:12.927,-0.01	0.00	-0.00	-0.06	-0.00	-0.02		-5.15	-0.29	8.83	-0.02	-0.02	0.02
2025-02-24 12:31:12.964,0.00	-0.01	0.00	-0.06	-0.00	-0.02		-5.00	-0.26	8.76	-0.01	-0.02	0.02
2025-02-24 12:31:13.001,0.00	-0.02	-0.00	-0.06	-0.00	-0.02		-5.10	-0.24	8.82	-0.02	-0.02	0.01
2025-02-24 12:31:13.037,-0.00	-0.01	0.03	-0.06	-0.00	-0.02		-5.03	-0.22	8.80	-0.01	-0.02	0.01
2025-02-24 12:31:13.074,-0.00	-0.02	0.01	-0.06	-0.00	-0.02		-5.14	-0.22	8.79	-0.02	-0.02	0.01
2025-02-24 12:31:13.111,-0.01	0.00	0.01	-0.06	-0.01	-0.02		-5.00	-0.24	8.75	-0.02	-0.02	0.01
2025-02-24 12:31:13.148,-0.00	-0.02	0.00	-0.06	-0.01	-0.02		-4.98	-0.23	8.74	-0.01	-0.02	0.01
2025-02-24 12:31:13.185,-0.01	-0.02	-0.02	-0.06	-0.00	-0.02		-5.09	-0.33	8.76	-0.02	-0.02	0.01
2025-02-24 12:31:13.223,-0.01	-0.01	-0.03	-0.06	-0.00	-0.02		-5.02	-0.20	8.74	-0.02	-0.02	0.02
2025-02-24 12:31:13.260,-0.01	-0.02	0.02	-0.06	-0.00	-0.02		-5.12	-0.31	8.80	-0.01	-0.02	0.02
2025-02-24 12:31:13.297,0.00	-0.01	-0.01	-0.06	-0.00	-0.02		-4.95	-0.29	8.86	-0.02	-0.01	0.01
